V1
Chinese Academy of Space Technology/Institutio Nacional de Pesquisas Espaciais
Chinese Aerospace Science and Technology Corp.
Chinese Amateur Satellite (CAMSAT)
Chinese Defense Ministry
Chinese National Space Administration/European Space Agency
Chosun University
Ciel Satellite Group
City University of New York
"College of Engineering, Pune"
Colombian Air Force
Colorado State University
Consortium of Portuguese Academic and Industrial Interests
Cooperative Research Centre for Satlelite Systems (CRCSS)
Cosmogia Inc.
CTRS Morocco/Institut fÃ¼r Luft-und Raumfahrttechnik (Berlin)
CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin)
Czech Aerospace Research Center (VZLU)
D-Orbit
Danish Meteorological Institute (DMI)
DARPA (Defense Advanced Research Projects Agency)
Dauria Aerospace
Defence Research and Development Canada (DRDC)/Canadian Space Agency
Defence Science and Technology Group/University of New South Wales
Defense Advanced Research Projects Agency (DARPA)
Defense Advanced Research Projects Agency (DARPA)/Navy Research Laboratory (NRL)
Defense Ministry
Deimos Imaging/DMC International Imaging (DMCII)
"Department of Astronautics, University of Tokyo"
Department of Homeland Security
Department of National Defense
Deutsches Zentrum fÃ¼r Luft- und Raumfahrt
Deutsches Zentrum für Luft- und Raumfahrt
DFH Satellite
DFH Satellite Co. Ltd.
DFH Satellite Co. Ltd./AMSAT-China
DFH Satellite/AMSAT-China
DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES)
Digital Globe
DigitalGlobal Corporation
DigitalGlobe Corporation
DirecTV Latin America/Intelsat
"DirecTV, Inc."
Dish Network
DoD/NOAA
DoD/US Air Force
DoD/US Navy
Earth Observation Research and Application Center/JAXA
Earth Science Data and Information System (NASA)/Laboratory for Atmospheric and Space Physics (Univ. of Colorado)
Earth Sciences Enterprise (NASA)
Earthi/Surrey Satellite Technology Ltd.
Echostar Communication Corp.
Echostar Communication Corp./Intelsat
Echostar Corporation (entire payload leased from Telesat Canada Ltd.)
"Echostar Satellite Services, LLC"
"Echostar Satellite Services, LLC/Intelsat"
"Echostar Technologies, LLC"
"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites"
"Echostar Technologies, LLC (leased to Ceil Satellite Group)"
"Echostar Technologies, LLC/Intelsat"
Ã‰cole de Mines
Ecole Polytechnique
Ecole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL)
Ecole Polytechnique Fédérale de Lausanne (EPFL)
Egyptian Radio and TV Union
Embratel Star One
Emirates Institution for Advanced Science & Technology (EIAST)
Esâ€™hailSat
ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites)
EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)
Eurasiasat SAM/Alcatel Space
Europe*Star (Altacel; Loral Global Alliance)
European Space Agency
European Space Agency (and 250 international scientific investigators)
European Space Agency (ESA)
European Space Agency (ESA) (and 250 international scientific investigators)
European Space Agency (ESA)(and 250 international scientific investigators)
European Space Agency (ESA)/NASA
European Space Agency/NASA
European Space Operations Centre
European Space Operations Centre (ESOC)
European Space Operations Centre (ESOC)/NASA/Russia
European Telecommunications Satellite Consoritum (EUTELSAT)
European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat
European Telecommunications Satellite Consortium (EUTELSAT)
European Telecommunications Satellite Consortium (EUTELSAT) - leased from France Telecom
European Telecommunications Satellite Consortium (EUTELSAT)/Es'hailSat
European Telecommunications Satellite Consortium (EUTELSAT)/transponders leased to Asia Broadcast Satellite
European Telecommunications Satellite Consotium (EUTELSAT) - leased from France Telecom
European Telecommunications Satellite Cosorrtium (EUTELSAT)
Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance)
Eutelsat (leased from Chinasat)
EUTELSAT (leases Ku-band capacity) - Russian Satellite Communications Company (Intersputnik)
Eutelsat Americas
Eutelsat S.A.
Eutelsat S.A./Es'hailSat
Eutelsat S.A./Nilesat
exactEarth
"Facultad de IngenierÃ­a de la Universidad de la RepÃºblica (FING), ANTEL"
"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL"
Federal Space Agency
FH Aachen
"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)"
Fleet Space Technologies
France Telecom
Friendly Islands Satellite Communications Ltd. (Tongasat)
Gaxprom Space Systems
Gazcom (subsidiary of Gazprom)
Gazprom Space Systems
Geo-Informatics and Space Technology Development Agency (GISTDA)
GeoEye
"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas"
GeoForschungsZentrum Postdam
GeoOptics Inc.
German Aerospace Center
German Aerospace Center (DLR)
German Aerospace Center (DLR)/Astrium
German Aerospace Center (DLR)/Infoterra
German Federal Armed Forces
"GHGSat, Inc."
Global Eagle Entertainment
Globalstar
Goddard Space Flight Center
Goddard Space Flight Center (NASA)
Goddard Space Flight Center/EOS Data and Operations System
Goddard Space Flight Center/Penn State University
GomSpace ApS
Gonets Satcom
GovSat
Harbin Institute of Technology
Harbin Institute/China Amateur Satellite - CAMSAT
Harris Corporation
Hawk Institute for Space Science
HEAD Aerospace
Hellas-Sat Consortium Ltd.
Hellas-Sat Consortium Ltd./INMARSAT
Herzliya Science Center Space Laboratory
Herzliya Science Centre (HSC)
Hiber Global
Hisdesat
Hisdesat/Ministry of Defense
Hispamar (subsidiary of Hispasat - Spain)
Hispasat
Hokkaido Institute of Technology
"Horizons 2 Satellite, LLC (Intelsat, JSAT Corporation)"
"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)"
Huaian Youth Comprehensive Development Base
Hughes Network Systems
Hughes Space and Communications Co.
"HughesNet leased from Echostar Technologies, LLC"
ICEYE
ICO Global Communications Ltd.
"ImageSat International, NV/Ministry of Defense"
Indian Institute of Technology Kanpur
Indian National Satellite (INSAT)
Indian National Satellite System
Indian Space Reseaerch Organization (ISRO)
Indian Space Research Organization
Indian Space Research Organization (ISRO)
Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES)
Indian Space Research Organization (ISRO)/exactEarth
Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN)
Information and Communications Ministry
"INMARSAT, Ltd."
"INMARSAT, Ltd./European Space Agency"
"INMARSAT, Ltd./European Space Agency (ESA)"
INPE Southern Regional Space Research Center
Institut fÃ¼r Luft- und Raumfahrt
Institut für Luft- und Raumfahrt
Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP)
Institute for Unmanned Space Experiment Free Flyer (USEF)
Institute of Space & Astronautical Science
"Institute of Space and Aeronautical Science, University of Tokyo"
Institute of Space and Aeronautical Science/NASA
Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA)
Institute of Space and Astronautical Science (ISAS)/NASA/ESA
Institute of Space Sensor Technology and Planetary Exploration
Institute of Space Technology
Instituto Nacional de Pesquisas Espaciais (INPE)
Instituto Nacional de TÃ©cnia Aeroespacial (INTA)
Instituto Nacional de Técnia Aeroespacial (INTA)
Instituto TecnolÃ³gico de Costa Rica
"Intelsat, Ltd."
"Intelsat, Ltd./New Skies Satellites N.V. (shared capacity)"
"Intelsat, Ltd./New Skies Satellites N.V. [SES Global] (shared capacity)"
"Intelsat, Ltd./New Skies Satellites N.V. [SES] (shared capacity)"
"Intelsat, Ltd./Sky Perfect JSAT Corp."
"Intelsat, Ltd./Telenor (leased capacity)"
"Intelsat, S.A."
"Intelsat, S.A./Sky Perfect JSAT Corp."
Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium)
"Interferometrics, Inc./Amsat NA"
International Organization of Space Communications (Intersputnik)
International Organization of Space Communications (Intersputnik)/EUTELSAT
Iranian Research Organization for Science and Technology (IROST)
"Iridium Communications, Inc."
Iridium Satellite LLC
Irvine Public Schools Foundation
ISIS - Innovative Solutions In Space B.V.
Israel Aircraft Industries
Istanbul Technical University
Istanbul Technical University/Turkish Air Force Academy
Italian Defense Ministry
Italian Defense Ministry/French Defense Ministry
Italian Defense Ministry/Telespazio
Italian Space Agency
Italian Space Agency/Ministry of Defense
ITU Space Systems Design & Test Laboratory
Japan Aerospace Exploration Agency (JAXA)
Japan Aerospace Exploration Agency (JAXA)/Institute of Space and Astronautical Science (ISAS)
Japan Aerospace Exploration Agency (JAXA)/NASA
Japan Amateur Radio League
Japan Meteorological Agency/Meteorological Satellite Center (MSC)
"Japan Satellite Systems, Inc."
"Japan Satellite Systems, Inc./Space Communication Corp."
Japan Space Systems
Japanese Ministry of Transport/Japan Meteorological Agency
"JAXA, Ministry of Environment, National Institute of Environmental Studies"
Jet Propulsion Laboratory (NASA)/California Institute of Technology
Johns Hopkins University/NASA
Joint Stock Company-Information Satellite Systems
JSAT Corporation
JSC KazSat
Kagawa University
Kanagawa University
Kazcosmos
Kentucky Space
Kepler Communications
Kingdom of Morocco
Kongsberg Satellite Services (KSAT)
Korea Advanced Institute of Science and Technology (KAIST)
Korea Aerospace Research Institute (KARI)
Korean Advanced Institute of Science and Technology (KAIST)
KT Corporation
KT Corporation/Korean Agency for Defense Development (ADD)
Kyushu Institute of Technology
Kyushu Institute of Technology (KIT)
Kyushu University
La Sapienza University of Rome
Laboratoire dâ€™Etudes Spatiales et dâ€™Instrumentation en Astrophysique
Laos National Authority for Science and Technology
Lavochkin Research and Production Association (Lavochkin NPO)
Leased to APT Satellite Holdings Ltd./Loral Skynet
LightSquared
Link Space Aerospace Technology
Lockheed Martin Intersputnik
Loral Skynet do Brasil (Loral Skynet)
Loral Skynet Satellite Services (Loral Global Alliance)
Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.
Los Alamos National Laboratory
Los Alamos National Labs (LANL)
Los Alamos National Labs/DOE
Mabuhay Philippines Satellite Corp.
Malaysian National Space Agency
Massachusetts Institute of Technology
Massachusetts Institute of Technology/NASA
"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy"
MEASAT Satellite Systems Sdn. Bhd.
Mexico Telecomm
Microspace Rapid Pte Ltd.
Microspace Rapid Pvt Ltd.
Military Satellite Communications - US Air Force
Military Space Forces (VKS)
Millennium Space Systems
Ministry of Communications and Information Technologies
Ministry of Defence
Ministry of Defence/British National Space Centre
Ministry of Defence/Paradigm Secure Communications
Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium)
Ministry of Defense
"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden"
Ministry of Defense/General Delegation for Ordnance (DGA)
Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium)
Ministry of Defense/XTAR
"Ministry of Economy, Trade and Industry"
Ministry of Education
Ministry of Information Technology and Telecommunications
Ministry of Science and Technology
Missile Defense Agency
Missile Defense Agency (MDA)
"Mission and Science Operations Center, UC Berkeley/NASA"
MIT/Lincoln Laboratory-University of Massachusetts  Amherst
Mobile Broadcasting Corporation (MBCO)/SK Telecom
Mobile Satellite Ventures
Mohammed bin Rashid Space Centre/American University of Sharjah
Morehead State University
Morsviazsputnik
Moscow State University
Moscow State University (MSU)
Mozhaisky Space Engineering Academy
Nagora University and Daido University
Nagoya University and Daido University
Nahuelsat S.A.
Nanjing University of Aeronautics and Astronautics
Nanjing University of Science and Technology
Nanjing University of Aeronautics and Astronautics
NanoSatisfi Inc.
Nanyang Technological University
Nanyang Technological University/Kyushu Institute of Technology
NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency
NASA Earth Science Office
"NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado"
NASA Goddard Space Flight Center
"NASA Goddard Space Flight Center, Jet Propulsion Laboratory"
NASA Jet Propulsion Laboratory
NASA-Ames Research Center/Stanford University
NASA/Ames Research Center
"NASA/Applied Physics Laboratory, Johns Hopkins"
NASA/Centre National d'Etudes Spatiales (CNES)
NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT
NASA/Colorado State University
NASA/German Research Centre for Geosciences (GFZ)
NASA/Goddard Space Flight Center
NASA/GSFC
NASA/International
NASA/JAXA
NASA/Johns Hopkins University Applied Physics Laboratory
NASA/Multinational
NASA/SES Americom (SES [Societe Europienne des Satellites])
NASA/SES Americom (SES [Société Européenne des Satellites (SES)])
NASA/SES Americom (SES Global)
NASA/Sienna College/Univ. of Maryland
"NASA/Space Sciences Laboratory, UC Berkeley"
"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)"
NASA/US Geological Survey
NASA/Yonsei University/KARI
National Academy of Sciences
National Aeronautics  and Space Administration (NASA)
National Aeronautics and Space Administration (NASA)
National Aeronautics and Space Administration (NASA) - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency
"National Aeronautics and Space Administration (NASA) Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado"
National Aeronautics and Space Administration (NASA) Goddard Space Flight Center
National Aeronautics and Space Administration (NASA) Jet Propulsion Laboratory
National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University
"National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins"
National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT
National Aeronautics and Space Administration (NASA)/Colorado State University
National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center
National Aeronautics and Space Administration (NASA)/GSFC
National Aeronautics and Space Administration (NASA)/JAXA
National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory
National Aeronautics and Space Administration (NASA)/Multinational
National Aeronautics and Space Administration (NASA)/SES Americom (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)])
"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)"
National Aeronautics and Space Administration (NASA)/US Geological Survey
National Authority for Remote Sensing and Space Science (NARSSS)
National Authority for Remote Sensing and Space Sciences (NARSS)
National Cheng Kung University
"National Commission of Space Activities (CONAE) (with NASA, Denmark, Italy, Spain, France, Brazil)"
National Committee for Disaster Reduction and State Environmental Protection
National Institute of Information and Communications Technology (JPN)
National Institute of Information and Communications Technology (NICT)
National Marine Satellite Application Center
National Ocean Administration
National Oceanographic and Atmospheric Administration (NOAA) (part of international program)
National Oceanographic and Atmospheric Administration (NOAA)/NASA
National Reconaissance Office
National Reconaissance Office (NRO)
National Reconnaissance Office
National Reconnaissance Office (NRO)
National Reconnaissance Office (NRO)/US Air Force
National Reconnaissance Office (NRO)/US Navy
National Reconnaissance Office (NRO)/USAF
National Reconnaissance Office/US Navy
National Remote Sensing Center (NRSCC)
National Space Activities Commission (CONAE)
National Space Development Agency
National Space Development Agency(NASA)/Japan Aerospace Exploration Agency (JAXA)
National Space of Activities Commission - Argentina/NASA
National Space Organization
National Space Program Office (NSPO)
"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO"
National Space Research and Development Agency (NASRDA)
National Space Science Center (NSSC)
National Technical University
National Technical University of Ukraine & Shenyang Aerospace University
National University of Defense
National University of Defense Technology
National University of Defense Technology/CAMSAT
National University of Singapore
NATO (North Atlantic Treaty Organization) (controlled by UK Ministry of Defence)
Naval Post-Graduate School
Naval Research Laboratory
Naval Satellite Operations Center (NAVSOC)
NBN Co (operated by Optus)
NearSpace Launch/Air Force Research Laboratory
Netherlands Organization for Applied Scientific Research (NTO) consortium
New Skies Satellites N.V.
New Skies Satellites N.V. (SES [Societe Europienne des Satellites])
New Skies Satellites N.V. (SES [Societe Europienne des Satellites])/Intelsat (shared capacity)
New Skies Satellites N.V. (SES Global)
New Skies Satellites N.V. [SES Global]/Intelsat (shared capacity)
New Skies Satellites N.V./Intelsat (SES [Societe Europienne des Satellites])(shared capacity)
New Skies Satellites N.V./Intelsat (shared capacity)
New Skies Satellites N.V./Intelsat [SES Global] (shared capacity)
New Skies Satellites N.V./Intelsat [SES Global](shared capacity)
New Skies Satellites N.V./Intelsat [SES] (shared capacity)
"Newsat-USA, Inc."
NigComSat
NigComSat Ltd./National Space Research and Development Agency (NASRDA)
Nihon University
NOAA (National Oceanographic and Atmospheric Administration)
Noorul Islam University
Nordiska Satellitaktiebolaget (SES Global)
Northwest Nazarene University (Idaho)
Northwestern Polytechnical University (NPU)
Norwegian Coastal Admnistration
Norwegian Space Center
Norwegian Space Centre\Norwegian Defence Research Establishment (FFI)
"NTT DoCoMo, Inc."
O3b Networks Ltd.
Open Space Network
Operational Responsive Space (ORS) Office
Optus Communications (Parent: Signapore Telecom)
Optus Communications (Parent: Singapore Telecom)
Optus Communications (Parent: Singapore Telecom)/Australian Ministry of Defence
ORBCOMM Inc.
ORBCOMM Inc. (subsidiary of Orbital Sciences Corp.)
ORBCOMM Inc./US Coast Guard
Orbimage
Pakistan Space and Upper Atmosphere Research Commission (SUPARCO)
Pakistan Space and Upper Atmosphere Research Commission (SUPARCO)/PakSat International
PanAmSat
"PanAmSat (Intelsat, Ltd.)"
"PanAmSat (Intelsat, Ltd.)/DirecTV L.A."
"PanAmSat (Intelsat, Ltd.)/JSAT Corp."
"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp."
"PanAmSat (Intelsat, S.A.)"
PanAmSat/JSAT Corp.
PanAmSat/Telesat Canada
Peacesat (PanPacific Education and Communications Experiment by Satellite) (loaned by NOAA)
People's Liberation Army
People's Liberation Army (C41)
Peruvian SpaceAgency
"Philippinesâ€™ Department of Science and Technology, University of the Philippines Diliman, and Japanâ€™s Hokkaido University and Tohoku University"
Planet
"Planet Labs, Inc."
"Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University"
Planetary Resources
Politecnico di Torino
Polytechnic of Turin
Protostar
PT Citra Sari Makmur (CSM)
PT Indosat
PT Telkomunikasi
Qinghua University/Aerospace Qinghua Satellite Technologies Co. Ltd.
Quakefinder LLC
"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)"
Radarsat International
RapidEye AG
Reaktor Space Lab
Regional African Satellite Communications Organization (RASCOM)
Research Laboratory of Aerospace Technology (NILAKT ROSTO)
Riyadh Space Research Institute
Roscosmos State Corporation
Roshydromet - Planeta
Royal Australian Navy
Royal Australian Navy/Panamsat (owner)
RS3A Control Station
Russian Aviation and Space Agency
Russian Defense Ministry
Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET)
Russian Federal Space Agency
Russian Federal Space Agency (Roskosmos)
Russian Satelite Communications Company (Intersputnik)
Russian Satellite Communications Co.
Russian Satellite Communications Company
Russian Satellite Communications Company (intersputnik)
Russian Satellite Communications Company (Intersputnik)
Russian Satellite Communications Company (Intersputnik)/EUTELSAT
Russian Space Agency
Russian Space Agency (RKA)
Russian Space Agency (RKA)/Defense Ministry
Russian Space Agency (RKA)/Ministry of Defense
Russian Space Forces
Russian Space Systems
Salish Kootenai College
Samara State Aerospace University
"Samara State Aerospace University, SGAU"
Santa Clara University
SAT-GE
Satelit Palapa Indonesia (SATELINDO)
"Satellite Command and Control Facility, Univ. of Miami"
Satellite Remote-Sensing Ground Station of CAS
Satellites Mexicanos S.A. de C.V. (SatMex; Loral Global Alliance)
Satellogic
Satellogic S.A.
Sathyabama University/IRSO
School of Aerospace Engineering - University of Rome
Scientific Production Corporation (joint stock creation of Russian Space Agency)
SCS Space
Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative
SEA Astra (part of SES [Societe Europienne des Satellites])
Secretaria de Comunicaciones y Transportes (SCT)
Sergio Arboleda University
SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES))
SES (Societe Europienne des Satellites)
SES (Societe Europienne des Satellites)/Intelsat (shared capacity)
SES (Société Européenne des Satellites (SES))
SES (Société Européenne des Satellites (SES))/Intelsat (shared capacity)
SES Americom (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)])
SES Americom (SES [Societe Europienne des Satellites])
SES Americom (SES [Société Européenne des Satellites (SES)])
SES Americom (SES Global)
SES Astra (part of SES [Societe Europienne des Satellites])
SES Astra (part of SES Global) (Societe Europienne des Satellites [SES])
SES S.A
SES S.A.
SES S.A. -- total capacity leased to subsidiary of EchoStar Corp.
"SES S.A./EchoStar Satellite Services, LLC"
SES S.A./Gogo
SES S.A./Intelsat (shared capacity)
SES Sirius AB
SES World Skies
SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)])
SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp.
SES World Skies (SES [Societe Europienne des Satellites])
SES World Skies (SES [Societe Europienne des Satellites]) -- total capacity leased to subsidiary of EchoStar Corp.
SES World Skies (SES [Societe Europienne des Satellites])/Intelsat (shared capacity)
SES World Skies (SES [Société Européenne des Satellites (SES)])
SES World Skies (SES [Société Européenne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp.
SES World Skies/Global Eagle Entertainment
SES World Skies/Gogo
SES World Skies/Intelsat (SES [Societe Europienne des Satellites]) (shared capacity)
SES World Skies/Intelsat [SES] (shared capacity)
SES.S.A.
SES/Intelsat (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]) (shared capacity)
SES/Intelsat (SES [Societe Europienne des Satellites]) (shared capacity)
SES/Intelsat (SES [Société Européenne des Satellites (SES)]) (shared capacity)
Shanghai Academy of Space Technology (CAST)
Shanghai Academy of Space Technology (SAST)
Shanghai Academy of Spaceflight Technology (SAST)
Shanghai Engineering Center for Microsatellites
Shanghai Micro Satellite Engineering Center
Shin Satellite Public Company Ltd. (Shin Sat)
Shinshu University
Shizuoka University
Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.
Sino Satellite Communications Co. Ltd. (Sinosat)
Sirius Satellite Radio
Sirius XM Holdings
"Sirius XM Radio, Inc."
Sistema Espacial para Realização de Pesquisa e Experimentos com Nanossatélites
Siwei Star Co. Ltd.
Skobeltsyn Institute of Nuclear Physics
"Sky and Space Global, UK"
Sky Mexico
Sky Perfect JSAT Corporation
Sky Perfect JSAT Corporation/DSN Corp.
Skybox Imaging
Smithsonian Astrophysical Laboratory/NASA/University of Cologne
Smolensk Satellite (SmolSat)
Sorun Corporation
South Africa/Stellenbosh University
South Asian Association for Regional Cooperation
Southwestern State University
"Space and Naval Warfare Systems Command, USN/NOAA"
Space Communication Corporation
Space Communications Ltd. (Spacecom)
Space Imaging EOSAT
Space OK (Shanghai Ok Space Co Ltd.)
"Space Research Institute, King Abdulaziz City for Science and Technology"
"Space Sciences Laboratory, UC Berkeley/NASA"
"Space Systems Design Studio, Cornell University"
Space Technologies Research Institute
Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST)
Space-Communication Ltd
Space-Communication Ltd.
SpacePharma
Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute
SpaceX
Spanish Space Agency
Spire
Spire Global Inc.
Spot Image
Sputnix Ltd.
SPUTNIX Ltd.
SRI International
SRM University
StaKoDo UG
Stanford University/NASA
Stanford University/NASA/US Air Force Academy
Star One (SES [Societe Europienne des Satellites])
Star One (SES [Société Européenne des Satellites (SES)])
Star One (SES Global)
State Oceanic Administration (SOA)
State Space Agency of Ukraine (NKAU)
Stellenbosch University
Strategic Space Command/Space Surveillance Network
Surrey Satellite Technologies Ltd.
Surrey Satellite Technologies Ltd. ()
