"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Cicero-2,NR (10/17),USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,586,602,1.15E-03,97.6,96.6,10,,,07/14/17,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042M,42836,"Provide an array of 24 microsatellites in LEO, designed to perform Global Navigation Satellite System (GNSS) radio occultation measurements.",
Cicero-3,NR (10/17),USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,586,602,1.15E-03,97.6,96.6,10,,,07/14/17,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AA,42849,"Provide an array of 24 microsatellites in LEO, designed to perform Global Navigation Satellite System (GNSS) radio occultation measurements.",
Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6),NR (10/17),USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,496,515,1.38E-03,97.45,94.7,10,,8,06/23/17,,Tyvak Nanosatellite Systems,USA,Satish Dhawan Space Centre,PSLV,2017-036AE,42793,Demonstrate radio occultation observations for a commercial customer,
Ciel-2,Canada,Canada,Ciel Satellite Group,Commercial,Communications,,GEO,,-129,35782,35788,7.12E-05,0.05,1436.05,5585,,,12/10/08,15 yrs.,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,Digital television; 32 Ku-band transponders.,
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,USA,University of California-Berkeley/Imperial College-London,Civil,Space Science,,LEO,Non-Polar Inclined,0,484,791,2.19E-02,64.6,97.4,3,,,09/13/12,,"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London",USA,Vandenberg AFB,Atlas 5,2012-048G,38764,Study of space weather effects in near-Earth space.,
CLIO (USA 257),USA,USA,Unknown US agency,Military,Communications,,GEO,,106,35736,35854,1.40E-03,0.04,1436.5,,,,09/16/14,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2014-055A,40208,Possibly signals intelligence satellite.,
Cloudsat,USA,USA,National Aeronautics and Space Administration (NASA)/Colorado State University,Government/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,848,,570,04/28/06,2 yrs.,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,"Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.",
Columbia (QB50 - US04),NR (10/17),USA,University of Turabo,Civil,Earth Science,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,2,,,04/18/17,.25 yrs.,University of Turabo,USA,International Space Station,Nanorack Deployer,1998-067LK,42702,Carries the Flux-Φ-Probe Experiment (FIPEX) of TU Dresden,
Compass-2 (QB50-DE04),NR (10/17),Germany,FH Aachen,Civil,Technology Development,,LEO,Sun-Synchronous,0,496,513,1.24E-03,97.45,94.6,5,,,06/23/17,,FH Aachen,Germany,Satish Dhawan Space Centre,PSLV,2017-036N,42777,Dragsail satellite - technology development.,
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Communications,Optical Imaging/Meteorology,GEO,,128,35783,35791,9.49E-05,0.01,1436.1,2460,,,06/26/10,,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744,"Multi-mission satellite with three payloads: one for meteorology, one for ocean observation and one for communications.",
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,63,35773,35799,3.08E-04,0.05,1436.1,2440,,3500,10/01/09,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.,
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,13.2,35780,35794,1.66E-04,0.08,1436.11,2440,,3500,05/21/10,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2010-021B,36582,"SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency).",
Condor E2 ,NR,South Africa,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Polar,0,499,501,1.46E-04,74.75,94.62,,,,12/19/14,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353,"Radar earth observation satellite built for, reportedly, the military of South Africa under Project Flute.",
