"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Iridium 84 (Iridium SV084),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,11/06/98,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066D,25530,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 86 (Iridium SV086),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,11/06/98,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066B,25528,Operational,
Iridium 90 (Iridium SV090),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,50,02/11/02,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005B,27373,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 91 (Iridium SV091),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,744,753,6.32E-04,86.4,99.8,689,556,50,02/11/02,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 94 (Iridium SV094),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,773,782,6.30E-04,86.4,100.4,689,556,50,02/11/02,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005C,27374,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 95 (Iridium SV095),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,02/11/02,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005D,27375,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 96 (Iridium SV096),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,745,754,6.32E-04,87.2,99.8,689,556,50,02/11/02,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 97 (Iridium SV097),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,50,06/20/02,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031A,27450,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",
Iridium 98 (Iridium SV098),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,748,750,1.40E-04,86.4,99.8,689,556,50,06/20/02,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451,Operational,
Iridium Next SV 102,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,621,8.59E-04,86.6,97,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003D,41920,Next generation expected to last to 2030,
Iridium Next SV 103,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,623,9.30E-04,86.6,97,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003B,41918,Next generation expected to last to 2030,
Iridium Next SV 104,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,1.00E-03,86.6,96.9,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003F,41922,Next generation expected to last to 2030,
Iridium Next SV 105,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,1.00E-03,86.6,97,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003E,41921,Next generation expected to last to 2030,
Iridium Next SV 106,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,701,704,2.12E-04,86.5,98.8,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003A,41917,Next generation expected to last to 2030,
Iridium Next SV 108,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,1.00E-03,86.6,96.9,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003H,41924,Next generation expected to last to 2030,
Iridium Next SV 109,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,622,8.59E-04,86.6,97,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003C,41919,Next generation expected to last to 2030,
Iridium Next SV 111,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,622,1.07E-03,86.6,96.9,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003K,41926,Next generation expected to last to 2030,
Iridium Next SV 112,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,622,1.07E-03,86.6,96.9,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003J,41925,Next generation expected to last to 2030,
Iridium Next SV 113,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039A,42803,Next generation expected to last to 2030,
Iridium Next SV 114,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,1.00E-03,86.6,96.9,860,678,50,01/14/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003G,41923,Next generation expected to last to 2030,
Iridium Next SV 115,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039D,42806,Next generation expected to last to 2030,
Iridium Next SV 117,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039F,42808,Next generation expected to last to 2030,
Iridium Next SV 118,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039E,42807,Next generation expected to last to 2030,
Iridium Next SV 120,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039C,42805,Next generation expected to last to 2030,
Iridium Next SV 121,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039K,42812,Next generation expected to last to 2030,
Iridium Next SV 123,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039B,42804,Next generation expected to last to 2030,
Iridium Next SV 124,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039H,42810,Next generation expected to last to 2030,
Iridium Next SV 126,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,1.22E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039G,42809,Next generation expected to last to 2030,
Iridium Next SV 128,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,625,1.14E-03,86.6,97,860,678,50,06/25/17,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039J,42811,Next generation expected to last to 2030,
IRIS (Interface Region Imaging Spectrometer),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,Sun-Synchronous,0,620,664,3.14E-03,97.9,97.5,236,678,50,06/28/13,2 yrs.,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197,"Investigate the sun's corona, solar wind and atmosphere",
IRNSS-1A (Indian Regional Navigation Satellite System),India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,1.90E-03,27.1,1436,1425,614,1660,07/01/13,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199,First of a seven-satellite system.,
IRNSS-1B (Indian Regional Navigation Satellite System),India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,2.19E-03,30.97,1436.14,1432,615,1660,04/04/14,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635,,
IRNSS-1C (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,2.15E-03,4.96,1435.8,1425,598,1660,10/15/14,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269,,
IRNSS-1D (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,1.60E-03,30.04,1435.06,1425,598,1600,03/30/15,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547,,
IRNSS-1E (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,2.12E-03,28.09,1436.01,1425,598,1600,01/20/16,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241,,
IRNSS-1F (Indian Regional Navigation Satellite System),NR (12/16),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,2.06E-03,5.09,1436.13,1425,598,1600,03/10/16,12 yrs.,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384,,
IRNSS-1G (Indian Regional Navigation Satellite System),NR (12/16),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,2.73E-04,5.06,1436.05,1425,598,1600,04/28/16,12 yrs.,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469,Final satellite in the seven-satellite regional system.,
IRS-P6 (Resourcesat-1) ,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,4.17E-04,98.8,101.3,1360,,1200,10/17/03,5 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051,"Monitor agricultural, land, and water resources.",
ITF-2 (Tsukuba Oscar 89),NR (1/17),Japan,University of Tsukuba,Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,1,,,01/16/17,,University of Tsukuba Satellite Project,Japan,International Space Station,J-SSOD Deployer,1998-067KU,41932,Student built.,
ITU-pSAT1 (Istanbul Technical University Picosat-1),NR,Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,,LEO,Sun-Synchronous,0,710,721,7.76E-04,98.4,99.1,1,,,09/23/09,1 yr.,ITU Space Systems Design & Test Laboratory,Turkey,Satish Dhawan Space Centre,PSLV,2009-051E,35935,"Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of İTÜ Astronautics Department.",
Jason 2 ,France,USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1332,1344,7.78E-04,66,112.4,553,510,500,06/20/08,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105,Monitor sea surface level and wave heights.,
Jason 3,NR (12/16),USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1301,1324,1.50E-03,66,111.8,553,510,500,01/17/16,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240,Monitor sea surface level and wave heights.,
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,127.51,35772,35801,3.44E-04,1.19,1436.1,4400,1858,,08/11/06,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272,"30 Ku-band, 12 C-band transponders.",
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110.1,35784,35789,5.93E-05,0.01,1436.11,3531,1669,"7,200 (EOL)",10/07/00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.,
JCSat 13 (Japan Communications Satellite 13),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,124,35780,35791,1.30E-04,0.05,1436.03,4500,,,05/15/12,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023A,38331,44 Ku-band transponders.,
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",NR (12/16),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35861,35924,7.45E-04,0.02,1441.5,4500,,,05/06/16,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-028A,41471,,
JCSat 15,NR (1/17),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110,35721,35774,6.29E-04,0,1434.1,3400,,,12/21/16,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-082A,41903,Will replace N-Sat 110.,
JCSat 16 ,NR (12/16),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162,35786,35801,1.78E-04,0,1436.01,4500,,,08/14/16,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-050A,41729,,
JCSat 1B (JCSAT 5),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,128.03,35778,35794,1.90E-04,0.01,1436.09,2982,1308,5200,12/02/97,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35788,35794,7.12E-05,0.01,1436.1,2500,1460,3500,03/29/02,11 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.",
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,123.85,33782,37768,4.73E-02,0.07,1435.52,2900,1230,5200,02/15/99,14.5 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.",
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,132.04,35776,35797,2.49E-04,0.01,1436.1,4400,,,04/12/06,12 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch Odyssey,Zenit 3SL,2006-010A,29045,"C-band, Ku-band, and S-band transponders.",
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,142.49,35780,35794,1.66E-04,0.04,1436.12,4000,,,08/21/09,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755,Backup for other JCSATs.,
Jilin 1-3 (Lingqiao 3),NR (9/17),China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,544,9.41E-04,95.4,97.54,400,,,01/09/17,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002B,41914,High resolution earth-imaging. First commercial satellite for earth observation in China.,
"Jilin 1-A (Lingqiao Satellite, LQSat)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,0,640,663,1.64E-03,98.04,97.77,55,,,10/07/15,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958,Technology development in earth imaging.,
"Jilin-1 (Lingqiao-A, Lingqiao Video A)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,664,1.78E-03,98.04,97.75,95,,,10/07/15,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959,High resolution video imaging.,
"Jilin-1 (Lingqiao-B, Lingqiao Video B)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,663,1.71E-03,98.04,97.74,95,,,10/07/15,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960,High resolution video imaging.,
"Jilin-1-1 (Optical A, Lingqiao 1)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,638,662,1.71E-03,98.05,97.73,400,,,10/07/15,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961,High resolution earth-imaging. First commercial satellite for earth observation in China.,
Jugnu,India,India,Indian Institute of Technology Kanpur,Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,839,866,1.87E-03,20,102,3,,3,10/12/11,1 yr.,Indian Institute of Technology Kanpur,India,Satish Dhawan Space Centre,PSLV,2011-058B,37839,The mission goal is to make a nanosatellite at IIT Kanpur that would serve the following applications: 1. Micro Imaging System; 2. GPS receiver for locating the position of satellite in the orbit; 3. MEMS based IMU (Inertial Measurement Unit) ,
Kaidun-1 (Caton-1),NR (9/17),China,Caton Universal Technology Ltd.,Government,Technology Development,,LEO,Sun-Synchronous,0,530,546,1.16E-03,97.54,95.4,2,,,01/09/17,,Caton Universal Technology Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002C,41915,Test technologies of low-orbit narrow-band communication and VHF Data Exchange System (VDES),
Kaituo-1A (Xinyan-2),NR,China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,,LEO,Sun-Synchronous,0,518,536,1.30E-03,97.46,95.18,130,,,09/19/15,,China Aerospace Science and Technology Corporation,China,Taiyuan Launch Center,Long March 6,2015-049F,40904,,
Kalpana-1 (Metsat-1),India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,74.07,35783,35789,7.12E-05,0.04,1436.08,1060,500,550,09/12/02,5-7 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525,Carries a VHRR (Very High Resolution Radiometer); Data Relay Transponder,
Kanopus-B (Kanopus Vulcan 1) ,Russia,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,505,2.91E-04,97.5,94.7,400,110,300,07/22/12,5 yrs.,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707,Will provide users with operational hydro-meteorological information.,
Kanopus-V-IK-2,NR (10/17),Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,505,508,2.18E-04,97.4,94.7,500,,,07/14/17,,Roscosmos,Russia,Baikonur Cosmodrome,Soyuz 2.1a,2017-042A,42825,Also carries an infrared sensor to detect and localize the source of wildfires.,
KazEOSat-1 (Kazcosmos Earth Observation Satellite),NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,751,754,2.11E-04,98.53,99.87,830,,1200,04/30/14,7.25 yrs.,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731,"High-resolution observation satellite owned by Kazakhstan, tasks including monitoring of natural and agricultural resources, provision of mapping data, and support for rescue operations in the event of a natural disaster.",
KazEOSat-2 (kazcosmos Earth Observation Satellite),NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,612,636,1.72E-03,97.99,97.19,185,,55,06/19/14,7 yrs.,Surrey Satellite Technologies Ltd.,UK,Dombarovsky Air Base,Dnepr,2014-033A,40010,Medium-resolution observaton satellite owned by Kazakshstan.,
KazSat-2,Kazakhstan,Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,86.5,35786,35788,2.37E-05,0.03,1436.13,1300,,,07/15/11,12 yrs.,Khrunichev,Russia,Baikonur Cosmodrome,Proton-M,2011-035B,37749,Replaced KazSat-1.,
KazSat-3,NR,Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,58.5,35784,35789,5.93E-05,0.12,1436.08,,,5500,04/28/14,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton-M,2014-023B,39728,"Communications satellite for Kazakhstan to provide point-to-point links, TV and high-speed Internet.",
Kent Ridge 1,NR,Singapore,National University of Singapore,Civil,Earth Observation,Optical Imaging,LEO,Equatorial,0,534,551,1.23E-03,14.98,95.49,78,,,12/16/15,,National University of Singapore,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077B,41167,Medium resolution hyperspectral camera and shortwave infrared hyperspectral camera. Its secondary payload is a real-time high resolution video camera.,
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,264,1050,5.59E-02,97.9,97,18000,10000,,10/19/05,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,$1 billion satellite; last use of Titan IV as launch vehicle.,
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,200,1000,5.74E-02,97.8,97,18000,10000,,01/20/11,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348,Believed to be KH-11 class.,
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Elliptical,102.6,257,997,5.29E-02,97.8,97.25,18000,10000,,08/28/13,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232,Believed to be KH-11 class.,
Kirameki 2 (DSN-2),NR (9/17),Japan,Ministry of Defense,Military,Communications,,GEO,,93.12,35764,35810,5.46E-04,0.1,1436.1,,,,01/24/17,15 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2017-005A,41940,X-Band satellite dedicated to military. ,
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,,GEO,,143.05,35776,35796,2.37E-04,0.02,1436.1,4850,2450,,02/23/08,,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H2A,2008-007A,32500,"Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band.",
KJSY-1 (Kongjian Shiyan-1),NR,China,Tsinghua University,Civil,Technology Development,,LEO,Sun-Synchronous,0,520,540,1.45E-03,97.46,95.23,1,,,09/19/15,,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049R,40914,Released from Naxing 2 satellite after insertion into orbit.,
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Japan,Tokyo Metropolitan College of Industrial Technology,Civil,Technology Development,,LEO,Sun-Synchronous,0,651,667,1.14E-03,98.03,97.92,3,,,01/23/09,1 yr.,Tokyo Metropolitan College of Industrial Technology,Japan,Tanegashima Space Center,H-2A,2009-002H,33499,"Experiments on micro-thrusters, basic experiments on 3-axis attitude control and take land images with a camera.",
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,676,698,1.56E-03,98.2,98.5,800,,955,07/28/06, 3 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268,"High-resolution, multispectral images of Earth's surface.",
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,679,696,1.20E-03,98.2,98.5,980,,1300,05/17/12,4 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Tanegashima Space Center,H2A,2012-025B,38338,"Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role.",
