"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 101.06° W",-101.06,"35,783","35,790",8.30E-05,0.02,1436.1,"3,909","2,500",,11/13/1999,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-4.html,,,,,
"AMC-5 (Americom-5, GE-5)",AMC-5,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 79.07° W",-79.07,"35,780","35,793",1.54E-04,0.01,1436.12,"1,698",769,,10/28/1998,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1998-063B,25516,"Broadband internet, business television; 16 Ku-band; CONUS",,JM/304,http://www.lib.cas.cz/www/space.40/1998/063B.HTM,http://ses-americom.com/satellites/amc-5.html,,,,,
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 72.04° W",-72.04,"35,777","35,796",2.25E-04,0.02,1436.12,"3,901","2,500",,10/22/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton-K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-6.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
"AMC-7 (Americom-7, GE-7)",AMC-7,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 136.98° W",-136.98,"35,771","35,801",3.56E-04,0.01,1436.08,"1,935",912,"6,500 (EOL)",9/14/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-7.html,http://www.planet4589.org/space/jsr/back/news.435,,,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 138.95° W",-138.95,"35,770","35,801",3.68E-04,0.02,1436.07,"2,015",919,"3,300",12/19/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-8.html,,,,,
AMC-9 (Americom 9),AMC-9,USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,"GEO, 85.03° W",-85.03,"35,779","35,794",1.78E-04,0.03,1436.13,"4,100","2,000","10,000",6/7/2003,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton-K,2003-024A,27820,"Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico.",,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-9.html,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html#AMC-9,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Amos 1 ,Amos 1,Israel,Israel Aircraft Industries,Military/Commercial,Communications,"GEO, 3.94° W",-3.94,"35,767","35,805",4.51E-04,0.07,1436.1,961,580,"1,200 (BOL)",5/16/1996,11 yrs.,IAI/Alcatel/Daimler-Benz Aerospace,Israel,Guiana Space Center,Ariane 44L,1996-030B,23865,"7 transponders in Ku-band; voice and vision communications; Central Europe, Middle East centered on Israel.",,JM/304,www.globalsecurity.org/org/news/2003/030113-shuttle01.htm,www.mfa.gov.il/mfa/go/asp?MFAH0a4y0,http://nssdc.gsfc.nasa.gov/spacewarn/spx511.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Amos 2 ,Amos 2,Israel,Israel Aircraft Industries,Military/Commercial,Communications,"GEO, 4° W",-4.00,"34,439","35,832",1.68E-02,0.02,1402.96,"1,400",646,"1,900 (EOL)",12/27/2003,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,"Ku-band communications, Europe, Middle East, East Coast of USA.",,JM Satcat/304,http://www.israeli-weapons.com/weapons/space/amos/AMOS_2.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html,http://www.spacecom.co.il/amos2launch/amos2launch.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"Amsat-Echo (Oscar 51, AO-51)",Amsat-Echo,USA,Amsat-NA,Civil,Amateur Radio,"LEO, Sun-sync.",,698,799,7.09E-03,98.2,99.79,12,,,6/29/2004,,Amsat-NA/SpaceQuest,USA,Baikonur Cosmodrome,Dnepr 1,2004-025K,28375,American amateur radio satellite.,,JMSatcat1104,http://www.amsat.org/amsat-new/satellites/status.php,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/025K.HTM,http://www.amsat.org/amsat-new/satellites/status.php,,
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,Amsat-NA,Civil,Amateur Radio,"LEO, Sun-sync.",,"1,440","1,460",1.28E-03,101.7,114.9,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,07530,American amateur radio satellite.,,JMSatcat1104,http://www.amsat.org/amsat-new/satellites/status.php,http://www.emilyshouse.com/experthams/ao7/main.php,,,,,
