"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3D (Indian National Satellite),INSAT 3D,India,Indian Space Research Organization (ISRO),Government,Meteorology,GEO,,82,"35,782","35,791",1.07E-04,0.24,1436.09,"2,090",,,7/25/2013,,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA,2013-038B,39216,Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload,,ZARYA,http://www.thespacereview.com/article/2341/1,http://www.isro.org/satellites/geostationary.aspx,http://www.nasaspaceflight.com/2013/07/ariane-5-launch-alphasat-insat-3d/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3E (Indian National Satellite),INSAT 3E,India,Indian Space Research Organization (ISRO),Government,Communications/Earth Science,GEO,,55.11,"35,765","35,807",4.98E-04,0.12,1436.08,"2,750","1,181","2,400",9/27/2003,12 yrs.,ISRO Satellite Center,India,Guiana Space Center,Ariane 5,2003-043E,27951,Provide communications services for India; 24 C-band transponders,,JM/12_08,http://www.isro.org/insat3e/pg2.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html,www.isro.org/pressrelease/Sep28_2003.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4A (Indian National Satellite),INSAT 4A,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,,83.08,"35,777","35,796",2.25E-04,0.03,1436.1,"3,100",,"5,500",12/21/2005,12 yrs.,ISRO Satellite Center,India,Guiana Space Center,Ariane 5G,2005-049A,28911,"12 Ku-band, 12 C-band transponders for data and TV services.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx626.html,http://www.isro.org/insat-4a/insat-4a.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4B (Indian National Satellite),INSAT 4B,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,,93.48,"35,760","35,811",6.05E-04,0.04,1436.08,"3,028","1,335",,3/11/2007,,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2007-007A,30793,"Television and telecommunications services; 12 Ku-band and 12 C-band transponders, Indian sub-continent.",,JM/12_08,http://www.lib.cas.cz/www/space.40/2007/007A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4CR (Indian National Satellite),INSAT 4CR,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,,73.97,"37,782","37,791",1.02E-04,0.03,1436.11,"2,130",,"3,000",9/2/2007,12 yrs.,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,GSLV F04,2007-037A,32050,"12 high-power Ku-band transponders designed to provide Direct-to-home (DTH) television services, Video Picture Transmission (VPT) and Digital Satellite News Gathering (DSNG).",,JM/9_11,http://www.isro.org/satellites/insat-4cr.aspx,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),ESA/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Physics,Elliptical,Deep Highly Eccentric,0,"2,284","152,812",8.97E-01,52.1,"4,032.86","4,000","3,414","2,000",10/17/2002,2 yrs.,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton,2002-048A,27540,Astronomical satellite for observing the gamma-ray sky.,,JMSatcat304,http://nssdc.gsfc.nasa.gov/spacewarn/spx588.html,http://www.space-technology.com/projects/integral/,http://isdc.unige.ch/Outreach/Integral/integral.html#mission,http://sci.esa.int/science-e/www/area/index.cfm?fareaid=21,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 10 (PAS-10),Intelsat 10,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,68.52,"35,776","35,796",2.37E-04,0.04,1436.08,"3,739","2,510 (BOL)","9,600",5/14/2001,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton,2001-019A,26766,"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe.",,JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx571.html,http://www.panamsat.com/global_network/pas_10.asp,http://www.boeing.com/defense-space/space/bss/factsheets/601/pas10/pas10.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 10-02 (Thor 4),Intelsat 10-02,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-0.95,"35,783","35,789",7.12E-05,0.02,1436.08,"5,576",,"11,000",6/16/2004,13 yrs.,EADS Astrium,UK/France/Germany/Spain,Baikonur Cosmodrome,Proton,2004-022A,28358,"Television, data, and other telecommunication services to Europe, Africa and the Middle East; 36 Ku-band, 70 C-band transponders.",,JM/12_08,http://www.space.eads.net/web1/press/press_release.asp?langue=en&id_tree=320&id_tree_nav=80,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.universetoday.com/am/publish/proton_launches_intelsat_1002.htm,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/knav/space.40/2004/022A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 11 (PAS 11),Intelsat 11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,-43.06,"35,778","35,795",2.02E-04,0.03,1436.1,"2,491",,,10/5/2007,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-044B,32253,"25 C-band, 18 Ku-band transponders, services to Latin America.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx648.html,http://www.lib.cas.cz/space.40/2007/044A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 14 (IS-14),Intelsat 14,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-45,"35,771","35,800",3.44E-04,0.02,1436.05,"5,613","2,517",,11/23/2009,16 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas,2009-064A,36097,"62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so.",,SC - ASCR,http://www.intelsat.com/press/news-releases/2009/20091123-1.asp,http://www.technobahn.com/article/200911240948,http://www.lib.cas.cz/space.40/2009/064A.HTM,http://www.nasaspaceflight.com/2009/11/live-intelsat-14-set-to-launch-on-atlas-v-av-024/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 15 (IS-15, JCSat 85)",Intelsat 15,USA,"Intelsat, Ltd./Sky Perfect JSAT Corp.",Commercial,Communications,GEO,,85,"35,776","35,798",2.61E-04,0.05,1436.12,"2,550",,"4,600",11/30/2009,17 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-067A,36106,"Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa, the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp.",,JM/4_10,http://www.intelsat.com/press/news-releases/2009/20091130-1.asp,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/067A.HTM,http://www.orbital.com/SatellitesSpace/Communications/Intelsat15/,http://articles.janes.com/articles/Janes-Space-Systems-and-Industry/Space-Communications-Corporation-SCC-Japan.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 16 (IS-16),Intelsat 16,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-58.12,"35,783","35,791",9.49E-05,0.07,1436.19,"2,450",,"4,500",2/12/2010,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-006A,36397,24 Ku-band transponders; direct-to-home to customers in Mexico and Brazil.,,JM/4_10,http://nssdc.gsfc.nasa.gov/spacewarn/spx676.html,www.orbital.com/NewsInfo/Publications/Intelsat16_Fact.pdf,http://www.lib.cas.cz/space.40/2010/006A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 17 (IS-17),Intelsat 17,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,66,"35,770","35,804",4.03E-04,0.03,1436.12,"5,540","2,393",,11/26/2010,16 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2010-065B,37238,"24 C-band, 25 Ku-band transponders serving Europe, the Middle East, Africa, Russia and Asia.",,SC - ASCR ,http://satellite.tmcnet.com/topics/satellite/articles/121514-intelsat-launches-is-17-communications-satellite.htm,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/065B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 18 (IS-18),Intelsat 18,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,180,"35,775","35,797",2.61E-04,0.01,1436.09,"3,200",,,10/5/2011,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit,2011-056A,37834,"24 C-band, 12 Ku-band; Asia Pacific Region",,JM/1_12,http://www.intelsat.com/press/news-releases/2011/20111005-1.asp,http://www.orbital.com/SatellitesSpace/Communications/Intelsat18/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 19 (IS-19),Intelsat 19,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,166,"35,768","35,801",3.91E-04,0.13,1436.01,"5,600",,"15,000",6/1/2012,15 yrs.,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit,2012-030A,38356,Replacement for Intelsat 8. Damage to a solar panel; reduced power.,,ZARYA,http://www.intelsat.com/press/news-releases/2012/20120601-2.asp,http://www.spacenews.com/satellite_telecom/120619-is19-array-damage.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,"https://www.google.com/#hl=en&sclient=psy-ab&q=Intelsat+19+power&oq=Intelsat+19+power&gs_l=hp.3...805.2249.6.2415.6.6.0.0.0.0.347.586.5j3-1.6.0.les%3B..0.0...1c.X-AE_mBHny4&pbx=1&bav=on.2,or.r_gc.r_pw.r_qf.&fp=142f60c45a4f3d69&biw=1191&bih=872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",Intelsat 1R,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,-44.96,"35,785","35,788",3.56E-05,0.06,1436.11,"4,793","3,000","15,000",11/15/2000,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2000-072A,26608,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.",,JM/12_08,http://host.planet4589.org/space/jsr/back/news.439,http://nssdc.gsfc.nasa.gov/spacewarn/spx565.html,http://www.panamsat.com/global_network/pas_1r.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 20 (IS-20),Intelsat 20,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,68.5,"35,780","35,790",1.19E-04,0.02,1436.03,"6,094","2,989","19,300",8/2/2012,18 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-043A,38740,"Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television, cellularbackhaul and VSAT services.",,SC - ASCR,http://www.intelsat.com/press/news-releases/2012/20120802-1.asp,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,http://space50.kosmo.cz/s40/2012/043A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 21 (IS-21),Intelsat 21,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-58,"35,774","35,811",4.39E-04,0.06,1436.39,"5,984","3,600",,8/19/2012,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2012-045A,38749,"Will replace Intelsat 9 - Meet needs of key customers SKY Mexico, Turner, Discovery,Fox, Telespazio, etc.",,SC - ASCR,http://www.spaceflightnow.com/sealaunch/is21/,http:/www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,http://www.intelsat.com/press/news-releases/2012/20120819-1.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 22,Intelsat 22,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,72,"35,781","35,792",1.30E-04,0.03,1436.11,"6,199",,,3/25/2012,18 yrs.,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton,2012-011A,38098,"Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force.",,,http://www.nasaspaceflight.com/2012/03/ils-proton-m-launch-intelsat-22-debut-supersynchronous-mission/,http://www.spaceflightnow.com/proton/is22/status.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 23,Intelsat 23,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,307,"35,781","35,797",1.90E-04,0.03,1436.21,"3,200","1,503",,10/14/2012,15-18 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton/M,2012-057A,38867,"15 Ku-band, 24 C-band. Americas, Caribbean, Western Europe, Africa.",,SC - ASCR ,http://space0.kosmo.cz/s40/2012/I057A.HTM,http://www.intelsat.com/press/news-releases/2012/20121014-1.asp,http://www.orbital.com/SatellitesSpace/Communications/Intelsat23/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",Intelsat 25,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,328.5,"35,778","35,793",1.78E-04,0.02,1436.1,"4,100",,"11,000",7/7/2008,16 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2008-034A,33153,"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million.",,JM/12_08,http://www.protostarsat.com/fleet.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/034A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html,http://www.intelsat.com/press/news-releases/2009/20091030.asp,http://www.spacenews.com/satellite_telecom/100514-failures-stunt-growth-intelsat.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",JCSat R,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,50,"35,779","35,794",1.78E-04,0.02,1436.1,"3,124","1,841","5,200",2/16/1997,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1997-007A,24732,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010.",,JM/12_08,http://www.jsat.net/en/satellite/pop_list.html,http://www.jsat.net/en/satellite/pop_list.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat34/jcsat34.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.spacenews.com/satellite_telecom/100318-intelsat-loaning-turksat-placeholder-satellite.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",Intelsat 5,USA,"Intelsat, Ltd.",Commercial,Communications,   GEO,,26.11,"35,774","35,798",2.85E-04,0.03,1436.09,"2,730","2,519","9,700",8/28/1997,15 yrs.,Hughes Space and Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,"28 C-band, 28 Ku-band; covers Arab world. Inclined.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 603 (Intelsat 6 F-3, IS-603)",Intelsat 603,USA,"Intelsat, Ltd./New Skies Satellites N.V. [SES] (shared capacity)",Commercial,Communications,GEO,,19.84,"35,778","35,795",2.02E-04,5.99,1436.12,"4,200","2,546","2,500",3/14/1990,13 yrs.,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,1990-021A,20523,"Inclined orbit; 64 C-band, 24 Ku-band; Broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Pacific Ocean region.",,JM/12_08,samadhi.jpl.nasa.gov,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.newskies.com/product1.asp?nContentID=491,http://www.satnews.com/stories2/1mar2003-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 7 (IS-7, PAS-7) ",Intelsat 7,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,68.7,"35,775","35,797",2.61E-04,0,1436.09,"3,833","2,118",,9/16/1998,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane,1998-052A,25473,"Voice and video communications; 14 C-band, 30 Ku-band; Asia, Africa, Middle East, Europe.",,JM/12_08,http://www.lib.cas.cz/www/space.40/1998/052A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html,http://www.panamsat.com/global_network/pas_7.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 701 ,Intelsat 701,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,179.94,"35,775","35,797",2.61E-04,0.01,1436.08,"3,642","1,450","3,900",10/22/1993,10-15 yrs.,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,1993-066A,22871,"42 C-band, 24 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Pacific Ocean region. ",,JM/12_08,samadhi.jpl.nasa.gov,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 702 ,Intelsat 702,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,47.50,"35,776","35,796",2.37E-04,0.02,1436.1,"3,642","1,450","3,900",6/17/1994,15 yrs.,Loral Space Systems,USA,Guiana Space Center,Ariane 44LP,1994-034A,23124,"42 C-band, 24 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Pacific Ocean region. ",,JM/12_08,http://www.fcc.gov/document/international-bureau-policy-branch-information-actions-taken,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 706 ,Intelsat 706,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,157.00,"35,776","35,795",2.25E-04,0.01,1436.07,"3,653","1,450","3,900",5/17/1995,15 yrs.,Loral Space Systems,USA,Cape Canaveral,Atlas 2 AS,1995-023A,23571,"42 C-band, 36 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks Atlantic Ocean region. ",,JM/12_08,samadhi.jpl.nasa.gov,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 801,Intelsat 801,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-31.47,"35,767","35,802",4.15E-04,0.21,1436.14,"3,447","2,000","4,900",2/28/1997,14 yrs.,Loral Space Systems,USA,Guiana Space Center,Ariane 44P,1997-009A,24742,"64 C-band, 16 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,JM/12_08,samadhi.jpl.nasa.gov,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 805 ,Intelsat 805,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-55.49,"35,775","35,797",2.61E-04,0.01,1436.08,"3,420","2,200","4,900",6/18/1998,14 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,1998-037A,25371,"36 C-band, 6 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,JM/12_08,,www.intelsat.com,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 9 (IS-9, PAS-9) ",Intelsat 9,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,-58,"35,782","35,792",1.19E-04,0.01,1436.14,"3,659","2,389 (BOL)","9,900",7/28/2000,15 yrs.,Hughes,USA,Sea Launch (Odyssey),Zenit 3SL,2000-043A,26451,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe.",,JM/12_08,http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_07_28_pas9launch.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx561.html,http://www.panamsat.com/global_network/pas_9.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 901 ,Intelsat 901,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-18.01,"35,775","35,798",2.73E-04,0.01,1436.12,"4,723","1,972","10,000",6/9/2001,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 902 ,Intelsat 902,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,62.05,"35,775","35,797",2.61E-04,1436.1,1436.1,"4,723","1,972","8,500",8/30/2001,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 903 ,Intelsat 903,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-34.55,"35,773","358,802",7.93E-01,0.02,1436.16,"4,723","1,972","8,600",3/30/2002,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,JM/12_08,http://www.loral.com/inthenews/020330.html,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 904 ,Intelsat 904,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,60.05,"35,782","35,789",8.30E-05,0.01,1436.07,"4,680","2,350","8,500",2/23/2002,13 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 905 ,Intelsat 905,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-24.52,"35,768","35,805",4.39E-04,0.01,1436.12,"4,723","1,984","10,000",6/5/2002,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 906 ,Intelsat 906,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,64.19,"35,775","35,796",2.49E-04,0.01,1436.07,"4,723","1,955","7,000",9/6/2002,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 907 ,Intelsat 907,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,-27.45,"35,770","35,803",3.91E-04,0.02,1436.1,"4,685","1,973","10,000",2/15/2003,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,"76 C-band transponders; business, video, internet.",,JM/12_08,,http://www.intelsat.com/resources/satellites/facts.aspx,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat APR-2 (INSAT 2E),Intelsat APR-2,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,83.03,"35,769","35,804",4.15E-04,0.18,1436.11,"2,550","1,150","2,000",4/3/1999,12 yrs.,Aerospatiale ,France,Xichang Satellite Launch Center,Long March CZ3B,1999-016A,25666,"6 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.",,JM/12_08,http://www.isro.org/insat2e.htm,www.intelsat.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat New Dawn,Intelsat New Dawn,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,32.8,"35,800","35,892",1.09E-03,0.05,1439.15,"3,000","1,283","4,800",4/22/2011,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2011-016A,37392,"Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa, the Middle East, Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11.",,SC - ASCR,http://www.spaceflightnow.com/news/n1105/26newdawn/,http://www.lib.cas.cz/space.40/2011/016A.HTM,http://www.intelsat.com/network/satellite/Intelsat-New-Dawn/about-new-dawn.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Space Station (ISS [first element Zarya]),International Space Station,Multinational,NASA/Multinational,Government,Science,LEO,Intermediate,0,401,422,1.55E-03,51.6,92.8,,,,11/20/1998,30+ yrs.,Boeing Satellite Systems (prime)/Multinational,Multinational,Baikonur Cosmodrome,Proton,1998-067A,25544,Final size of a Boeing 747; first component.,,www.satellitedebris.net 12/12,http://www.esa.int/export/esaHS/ESAI2X0VMOC_iss_0.html,http://www.boeing.com/defense-space/space/spacestation/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
