Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
"INMARSAT, Ltd.",Commercial,EADS Astrium,INMARSAT 4 F1,Communications,2005-03-11,Atlas 5,Cape Canaveral,2005-009A,28628,"GEO, 64° E",15,180,2020-03-11,11,1990-10-30,2006-03-17
"INMARSAT, Ltd.",Commercial,EADS Astrium,INMARSAT 4 F2,Communications,2005-11-08,Zenit 3SL,Sea Launch (Odyssey),2005-044A,28899,"GEO, 53° W",15,180,2020-11-08,11,1990-10-30,2006-03-17
Institute for Unmanned Space Experiment Free Flyer (USEF),Commercial,Institute for Unmanned Space Experiment Free Flyer (USEF),SERVIS-1 (Space Environment Reliability Verification Integrated System),Technology Development,2003-10-30,Rokot,Plesetsk Cosmodrome,2003-050A,28060,"LEO, Sun.sync.",2,24,2005-10-30,1,2003-10-30,2006-03-17
Institute of Space & Astronautical Science,Government,NEC,"Halca (Highly Advanced Laboratory for Communication and Astronomy, Muses B, Haruka)",Space Science,1997-02-12,M-V,Kagoshima Space Center Space Center,1997-005A,24720,Elliptical,,,,1,1997-02-12,2006-03-17
"Institute of Space and Aeronautical Science, University of Tokyo",Civilian Research,"Institute of Space and Aeronautical Science, University of Tokyo",Akebono (EXOS-D),Space Physics,1989-02-21,Mu 3S2,Kagoshima Space Center,1989-016A,19822,Elliptical,1,12,1990-02-21,1,1989-02-21,2006-03-17
Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA),Government,Institute of Space and Astronautical Science (ISAS),Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX),Technology Development,2005-08-23,Dnepr,Baikonur Cosmodrome,2005-031B,28810,"LEO, Sun-sync.",,,,1,2005-08-23,2006-03-17
Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,NASA/Goddard Space Flight Center,Geotail (Geomagnetic Tail Laboratory),Space Physics,1992-07-24,Delta 2,Cape Canaveral,1992-044A,22049,Elliptical/DHEO,,,,1,1992-07-24,2006-03-17
Institute of Space Sensor Technology and Planetary Exploration,Civil/Government,Deutsches Zentrum für Luft- und Raumfahrt,Bird 2 (Bispectral InfraRed Detector 2),Remote Sensing/Technology Development,2001-10-22,PSLV-C3,Satish Dhawan Space Centre,2001-049C,26959,"LEO, Sun-sync.",1.5,18,2003-04-22,1,2001-10-22,2006-03-17
Instituto Nacional de Pesquisas Espaciais (INPE),Government,Instituto Nacional de Pesquisas Espaciais (INPE),SCD-2 (Satélite de Coleta de Dados),Meteorology/Earth Observation,1998-10-23,Pegasus,Cape Canaveral,1998-060A,25504,LEO/I,3,36,2001-10-23,1,1998-10-23,2006-03-17
Instituto Nacional de Técnia Aeroespacial (INTA),Government,Instituto Nacional de Técnia Aeroespacial (INTA),Nanosat-1,Communications,2004-12-18,Ariane 5G,Guiana Space Center,2004-049B,28493,"LEO, Sun-sync.",,,,1,2004-12-18,2006-03-17
"Intelsat, Ltd.",Commercial,EADS Astrium,Intelsat 10-02,Communications,2004-06-16,Proton,Baikonur Cosmodrome,2004-022A,28358,"GEO, 359° E",13,156,2017-06-16,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 1A-5 (Telstar 5),Communications,1997-05-24,Proton K,Baikonur Cosmodrome,1997-026A,24812,"GEO, 97.03° W",13,156,2010-05-24,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 1A-6 (Telstar 6),Communications,1999-02-15,Proton K,Baikonur Cosmodrome,1999-005A,25626,"GEO, 93.05° W",13,156,2012-02-15,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Ford Aerospace,Intelsat 601 (Intelsat 6 F-1),Communications,1991-10-29,Atlas Centaur,Cape Canaveral,1991-075A,21765,"GEO, 64.20° E",13,156,2004-10-29,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Hughes Space and Communications Group,Intelsat 602 (Intelsat 6 F-2),Communications,1989-10-27,Ariane,Guiana Space Center,1989-087A,20315,"GEO, 150.5° E",13,156,2002-10-27,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Hughes Space and Communications Group,Intelsat 604 (Intelsat 6 F-4),Communications,1990-06-23,Titan 3,Cape Canaveral,1990-056A,20667,"GEO, 157.04° E",13,156,2003-06-23,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Hughes Space and Communications Group,Intelsat 605,Communications,1991-08-14,Titan 3,Cape Canaveral,1991-055A,21653,"GEO, 174° E",10,120,2001-08-14,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Hughes Space and Communications Group,Intelsat 701,Communications,1993-10-22,Ariane 44L,Guiana Space Center,1993-066A,22871,"GEO, 180.00° E",,,,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 702,Communications,1994-06-17,Ariane 44LP,Guiana Space Center,1994-034A,23124,"GEO, 54.87° E",15,180,2009-06-17,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 704,Communications,1995-01-10,Ariane 44LP,Guiana Space Center,1995-001A,23461,"GEO, 65.97° E",15,180,2010-01-10,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 705,Communications,1995-03-22,Atlas 2 AS,Cape Canaveral,1995-013A,23528,"GEO, 50.01° W",15,180,2010-03-22,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 706,Communications,1995-05-17,Atlas 2 AS,Cape Canaveral,1995-023A,23571,"GEO, 53.01° W",15,180,2010-05-17,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 709,Communications,1996-06-15,Ariane 44LP,Guiana Space Center,1996-035A,23915,"GEO, 85.12° E",15,180,2011-06-15,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Loral Space Systems,Intelsat 801,Communications,1997-02-28,Ariane 44P,Guiana Space Center,1997-009A,24742,"GEO, 31.41° W",14,168,2011-02-28,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,Intelsat 802,Communications,1997-06-26,Ariane 44L,Guiana Space Center,1997-031A,24846,"GEO, 174.03° E",14,168,2011-06-26,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,Intelsat 805,Communications,1998-06-18,Ariane 42L,Guiana Space Center,1998-037A,25371,"GEO, 55.50° W",14,168,2012-06-18,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Lockheed Martin Commercial Space Systems,Intelsat 901,Communications,2001-06-09,Atlas 2 AS,Cape Canaveral,2001-024A,26824,"GEO, 17.99° W",13,156,2014-06-09,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 902,Communications,2001-08-30,Ariane 44L,Guiana Space Center,2001-039A,26900,"GEO, 61.98° E",13,156,2014-08-30,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 903,Communications,2002-03-30,Ariane 44L,Guiana Space Center,2002-016A,27403,"GEO, 34.50° W",13,156,2015-03-30,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 904,Communications,2002-02-23,Proton K,Baikonur Cosmodrome,2002-007A,27380,"GEO, 59.97° E",13,156,2015-02-23,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 905,Communications,2002-06-05,Ariane 44L,Guiana Space Center,2002-027A,27438,"GEO, 24.52° W",13,156,2015-06-05,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 906,Communications,2002-09-06,Ariane 44L,Guiana Space Center,2002-041A,27513,"GEO, 64.14° E",13,156,2015-09-06,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat 907,Communications,2003-02-15,Ariane 44L,Guiana Space Center,2003-007A,27683,"GEO, 27.55° W",13,156,2016-02-15,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Aerospatiale,Intelsat APR-2 (INSAT 2E),Communications,1999-04-03,Long March CZ-3B,Xichang Satellite Launch Center,1999-016A,25666,"GEO, 83.04° E",12,144,2011-04-03,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat IA-7 (Telstar 7),Communications,1999-09-25,Ariane 44LP,Guiana Space Center,1999-052A,25922,"GEO, 129° W",13,156,2012-09-25,26,1989-10-27,2006-03-17
"Intelsat, Ltd.",Commercial,Space Systems Loral,Intelsat IA-8 (Telstar 8),Communications,2005-06-23,Zenit 3SL,Sea Launch (Odyssey),2005-022A,28702,"GEO, 89° W",,,,26,1989-10-27,2006-03-17
"Intelsat, Ltd./New Skies Satellites N.V. (shared capacity)",Commercial,Hughes Space and Communications Group,"Intelsat 603 (Intelsat 6 F-3, IS-603)",Communications,1990-03-14,Ariane 44L,Guiana Space Center,1990-021A,20523,"GEO, 340° E",13,156,2003-03-14,1,1990-03-14,2006-03-17
"Intelsat, Ltd./Telenor (leased capacity)",Commercial,Loral Space Systems,Intelsat 707 (Intelsat 7 F-7),Communications,1996-03-14,Ariane 44LP,Guiana Space Center,1996-015A,23816,"GEO, 0.97° W",15,180,2011-03-14,1,1996-03-14,2006-03-17
"Interferometrics, Inc./Amsat NA",Civil,Associazione Radioamatori Italiani,"Eyesat 1 (AO-27, Oscar 27)",Earth Observation/Amateur Radio,1993-09-26,Ariane 4,Guiana Space Center,1993-061G,22829,"LEO, Sun-sync.",,,,1,1993-09-26,2006-03-17
Iranian Research Organization for Science and Technology (IROST),Government,Polyot,"Sina-1 (Sinah 1, ZS1)",Communications/Research,2005-10-27,Cosmos 3M,Plesetsk Cosmodrome,2005-043D,28893,"LEO, Sun-sync.",3,36,2008-10-27,1,2005-10-27,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 10 (Iridium SV010),Communications,1997-06-18,Proton-K,Baikonur Cosmodrome,1997-030D,24839,LEO/P,8,96,2005-06-18,80,,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 11A (Iridium SVO88),Communications,1998-12-19,Long March 2C,Taiyuan Launch Center,1998-074B,25577,LEO/P,8,96,2006-12-19,80,,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 12 (Iridium SV012),Communications,1997-06-18,Proton-K,Baikonur Cosmodrome,1997-030B,24837,LEO/P,8,96,2005-06-18,80,,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 13 (Iridium SV013),Communications,1997-06-18,Proton-K,Baikonur Cosmodrome,1997-030E,24840,LEO/P,8,96,2005-06-18,80,,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 14A (Iridium SV092),Communications,1999-06-11,Long March 2C,Taiyuan Launch Center,1999-032A,25777,LEO/P,8,96,2007-06-11,80,,2006-03-17
Iridium Satellite LLC,Gov/Mil/Comm,Motorola Satellite Communications Group,Iridium 15 (Iridium SV015),Communications,1997-07-09,Delta II 7920,Vandenberg AFB,1997-034A,24869,LEO/P,8,96,2005-07-09,80,,2006-03-17
