"","shell_index","Year","sats","type"
"129","(300,350]",2022,51,"Shell"
"130","(350,400]",1998,33,"Shell"
"131","(350,400]",1999,33,"Shell"
"132","(350,400]",2000,34,"Shell"
"133","(350,400]",2001,35,"Shell"
"134","(350,400]",2002,36,"Shell"
"135","(350,400]",2003,37,"Shell"
"136","(350,400]",2004,37,"Shell"
"137","(350,400]",2005,39,"Shell"
"138","(350,400]",2006,40,"Shell"
"139","(350,400]",2007,42,"Shell"
"140","(350,400]",2008,42,"Shell"
"141","(350,400]",2009,42,"Shell"
"142","(350,400]",2010,42,"Shell"
"143","(350,400]",2011,43,"Shell"
"144","(350,400]",2012,43,"Shell"
"145","(350,400]",2013,44,"Shell"
"146","(350,400]",2014,45,"Shell"
"147","(350,400]",2015,48,"Shell"
"148","(350,400]",2016,50,"Shell"
"149","(350,400]",2017,95,"Shell"
"150","(350,400]",2018,112,"Shell"
"151","(350,400]",2019,129,"Shell"
"152","(350,400]",2020,155,"Shell"
"153","(350,400]",2021,150,"Shell"
"154","(350,400]",2022,113,"Shell"
"155","(400,450]",1997,1,"Shell"
"156","(400,450]",1998,12,"Shell"
"157","(400,450]",1999,12,"Shell"
"158","(400,450]",2000,12,"Shell"
"159","(400,450]",2001,13,"Shell"
"160","(400,450]",2002,13,"Shell"
"161","(400,450]",2003,13,"Shell"
"162","(400,450]",2004,13,"Shell"
"163","(400,450]",2005,13,"Shell"
"164","(400,450]",2006,13,"Shell"
"165","(400,450]",2007,16,"Shell"
"166","(400,450]",2008,16,"Shell"
"167","(400,450]",2009,17,"Shell"
"168","(400,450]",2010,17,"Shell"
"169","(400,450]",2011,17,"Shell"
"170","(400,450]",2012,19,"Shell"
"171","(400,450]",2013,22,"Shell"
"172","(400,450]",2014,26,"Shell"
"173","(400,450]",2015,30,"Shell"
"174","(400,450]",2016,46,"Shell"
"175","(400,450]",2017,127,"Shell"
"176","(400,450]",2018,150,"Shell"
"177","(400,450]",2019,210,"Shell"
"178","(400,450]",2020,243,"Shell"
"179","(400,450]",2021,251,"Shell"
"180","(400,450]",2022,247,"Shell"
"181","(450,500]",1995,1,"Shell"
"182","(450,500]",1996,1,"Shell"
"183","(450,500]",1997,1,"Shell"
"184","(450,500]",1998,2,"Shell"
"185","(450,500]",1999,2,"Shell"
"186","(450,500]",2000,2,"Shell"
"187","(450,500]",2001,2,"Shell"
"188","(450,500]",2002,3,"Shell"
"189","(450,500]",2003,3,"Shell"
"190","(450,500]",2004,3,"Shell"
"191","(450,500]",2005,4,"Shell"
"192","(450,500]",2006,6,"Shell"
"193","(450,500]",2007,8,"Shell"
"194","(450,500]",2008,8,"Shell"
"195","(450,500]",2009,11,"Shell"
"196","(450,500]",2010,12,"Shell"
"197","(450,500]",2011,15,"Shell"
"198","(450,500]",2012,19,"Shell"
"199","(450,500]",2013,23,"Shell"
"200","(450,500]",2014,29,"Shell"
"201","(450,500]",2015,44,"Shell"
"202","(450,500]",2016,56,"Shell"
"203","(450,500]",2017,93,"Shell"
"204","(450,500]",2018,159,"Shell"
"205","(450,500]",2019,199,"Shell"
"206","(450,500]",2020,289,"Shell"
"207","(450,500]",2021,374,"Shell"
"208","(450,500]",2022,424,"Shell"
"209","(500,550]",1990,1,"Shell"
"210","(500,550]",1991,1,"Shell"
"211","(500,550]",1992,1,"Shell"
"212","(500,550]",1993,1,"Shell"
"213","(500,550]",1994,1,"Shell"
"214","(500,550]",1995,1,"Shell"
"215","(500,550]",1996,1,"Shell"
"216","(500,550]",1997,1,"Shell"
"217","(500,550]",1998,3,"Shell"
"218","(500,550]",1999,3,"Shell"
"219","(500,550]",2000,4,"Shell"
"220","(500,550]",2001,6,"Shell"
"221","(500,550]",2002,6,"Shell"
"222","(500,550]",2003,7,"Shell"
"223","(500,550]",2004,8,"Shell"
"224","(500,550]",2005,8,"Shell"
"225","(500,550]",2006,8,"Shell"
"226","(500,550]",2007,11,"Shell"
"227","(500,550]",2008,13,"Shell"
"228","(500,550]",2009,14,"Shell"
"229","(500,550]",2010,15,"Shell"
"230","(500,550]",2011,16,"Shell"
"231","(500,550]",2012,19,"Shell"
"232","(500,550]",2013,25,"Shell"
"233","(500,550]",2014,26,"Shell"
"234","(500,550]",2015,34,"Shell"
"235","(500,550]",2016,48,"Shell"
"236","(500,550]",2017,61,"Shell"
"237","(500,550]",2018,82,"Shell"
"238","(500,550]",2019,172,"Shell"
"239","(500,550]",2020,982,"Shell"
"240","(500,550]",2021,2015,"Shell"
"241","(500,550]",2022,2547,"Shell"
"242","(550,600]",1984,1,"Shell"
"243","(550,600]",1985,1,"Shell"
"244","(550,600]",1986,1,"Shell"
"245","(550,600]",1987,1,"Shell"
"246","(550,600]",1988,1,"Shell"
"247","(550,600]",1989,1,"Shell"
"248","(550,600]",1990,1,"Shell"
"249","(550,600]",1991,1,"Shell"
"250","(550,600]",1992,1,"Shell"
"251","(550,600]",1993,1,"Shell"
"252","(550,600]",1994,1,"Shell"
"253","(550,600]",1995,1,"Shell"
"254","(550,600]",1996,1,"Shell"
"255","(550,600]",1997,1,"Shell"
"256","(550,600]",1998,4,"Shell"
"257","(550,600]",1999,5,"Shell"
"258","(550,600]",2000,5,"Shell"
"259","(550,600]",2001,6,"Shell"
"260","(550,600]",2002,7,"Shell"
"261","(550,600]",2003,7,"Shell"
"262","(550,600]",2004,13,"Shell"
"263","(550,600]",2005,17,"Shell"
"264","(550,600]",2006,20,"Shell"
"265","(550,600]",2007,20,"Shell"
"266","(550,600]",2008,33,"Shell"
"267","(550,600]",2009,34,"Shell"
"268","(550,600]",2010,39,"Shell"
"269","(550,600]",2011,39,"Shell"
"270","(550,600]",2012,48,"Shell"
"271","(550,600]",2013,58,"Shell"
"272","(550,600]",2014,77,"Shell"
"273","(550,600]",2015,78,"Shell"
"274","(550,600]",2016,88,"Shell"
"275","(550,600]",2017,116,"Shell"
"276","(550,600]",2018,186,"Shell"
"277","(550,600]",2019,207,"Shell"
"278","(550,600]",2020,243,"Shell"
"279","(550,600]",2021,331,"Shell"
"280","(550,600]",2022,332,"Shell"
"281","(600,650]",1984,1,"Shell"
"282","(600,650]",1985,1,"Shell"
"283","(600,650]",1986,1,"Shell"
"284","(600,650]",1987,1,"Shell"
"285","(600,650]",1988,1,"Shell"
"286","(600,650]",1989,1,"Shell"
"287","(600,650]",1990,1,"Shell"
"288","(600,650]",1991,1,"Shell"
"289","(600,650]",1992,1,"Shell"
"290","(600,650]",1993,1,"Shell"
"291","(600,650]",1994,1,"Shell"
"292","(600,650]",1995,2,"Shell"
"293","(600,650]",1996,2,"Shell"
"294","(600,650]",1997,6,"Shell"
"295","(600,650]",1998,6,"Shell"
"296","(600,650]",1999,8,"Shell"
"297","(600,650]",2000,9,"Shell"
"298","(600,650]",2001,10,"Shell"
"299","(600,650]",2002,12,"Shell"
"300","(600,650]",2003,16,"Shell"
"301","(600,650]",2004,18,"Shell"
"302","(600,650]",2005,19,"Shell"
"303","(600,650]",2006,20,"Shell"
"304","(600,650]",2007,26,"Shell"
"305","(600,650]",2008,39,"Shell"
"306","(600,650]",2009,45,"Shell"
"307","(600,650]",2010,58,"Shell"
"308","(600,650]",2011,62,"Shell"
"309","(600,650]",2012,66,"Shell"
"310","(600,650]",2013,91,"Shell"
"311","(600,650]",2014,123,"Shell"
"312","(600,650]",2015,154,"Shell"
"313","(600,650]",2016,157,"Shell"
"314","(600,650]",2017,162,"Shell"
"315","(600,650]",2018,172,"Shell"
"316","(600,650]",2019,178,"Shell"
"317","(600,650]",2020,184,"Shell"
"318","(600,650]",2021,193,"Shell"
"319","(600,650]",2022,199,"Shell"
"320","(650,700]",1990,1,"Shell"
"321","(650,700]",1991,1,"Shell"
"322","(650,700]",1992,1,"Shell"
"323","(650,700]",1993,1,"Shell"
"324","(650,700]",1994,1,"Shell"
"325","(650,700]",1995,2,"Shell"
"326","(650,700]",1996,2,"Shell"
"327","(650,700]",1997,2,"Shell"
"328","(650,700]",1998,2,"Shell"
"329","(650,700]",1999,6,"Shell"
"330","(650,700]",2000,9,"Shell"
"331","(650,700]",2001,9,"Shell"
"332","(650,700]",2002,11,"Shell"
"333","(650,700]",2003,14,"Shell"
"334","(650,700]",2004,16,"Shell"
"335","(650,700]",2005,20,"Shell"
"336","(650,700]",2006,27,"Shell"
"337","(650,700]",2007,36,"Shell"
"338","(650,700]",2008,37,"Shell"
"339","(650,700]",2009,47,"Shell"
"340","(650,700]",2010,48,"Shell"
"341","(650,700]",2011,57,"Shell"
"342","(650,700]",2012,61,"Shell"
"343","(650,700]",2013,72,"Shell"
"344","(650,700]",2014,81,"Shell"
"345","(650,700]",2015,83,"Shell"
"346","(650,700]",2016,91,"Shell"
"347","(650,700]",2017,91,"Shell"
"348","(650,700]",2018,94,"Shell"
"349","(650,700]",2019,99,"Shell"
"350","(650,700]",2020,101,"Shell"
"351","(650,700]",2021,105,"Shell"
"352","(650,700]",2022,105,"Shell"
"353","(700,750]",1993,2,"Shell"
"354","(700,750]",1994,2,"Shell"
"355","(700,750]",1995,2,"Shell"
"356","(700,750]",1996,2,"Shell"
"357","(700,750]",1997,3,"Shell"
"358","(700,750]",1998,6,"Shell"
"359","(700,750]",1999,12,"Shell"
"360","(700,750]",2000,12,"Shell"
"361","(700,750]",2001,12,"Shell"
"362","(700,750]",2002,14,"Shell"
"363","(700,750]",2003,15,"Shell"
"364","(700,750]",2004,21,"Shell"
"365","(700,750]",2005,22,"Shell"
"366","(700,750]",2006,23,"Shell"
"367","(700,750]",2007,25,"Shell"
"368","(700,750]",2008,26,"Shell"
"369","(700,750]",2009,31,"Shell"
"370","(700,750]",2010,34,"Shell"
"371","(700,750]",2011,34,"Shell"
"372","(700,750]",2012,35,"Shell"
"373","(700,750]",2013,41,"Shell"
"374","(700,750]",2014,48,"Shell"
"375","(700,750]",2015,59,"Shell"
"376","(700,750]",2016,65,"Shell"
"377","(700,750]",2017,68,"Shell"
"378","(700,750]",2018,72,"Shell"
"379","(700,750]",2019,78,"Shell"
"380","(700,750]",2020,78,"Shell"
"381","(700,750]",2021,80,"Shell"
"382","(700,750]",2022,81,"Shell"
"383","(750,800]",1991,2,"Shell"
"384","(750,800]",1992,2,"Shell"
"385","(750,800]",1993,5,"Shell"
"386","(750,800]",1994,5,"Shell"
"387","(750,800]",1995,6,"Shell"
"388","(750,800]",1996,6,"Shell"
"389","(750,800]",1997,28,"Shell"
"390","(750,800]",1998,53,"Shell"
"391","(750,800]",1999,61,"Shell"
"392","(750,800]",2000,61,"Shell"
"393","(750,800]",2001,63,"Shell"
"394","(750,800]",2002,69,"Shell"
"395","(750,800]",2003,71,"Shell"
"396","(750,800]",2004,73,"Shell"
"397","(750,800]",2005,73,"Shell"
"398","(750,800]",2006,78,"Shell"
"399","(750,800]",2007,81,"Shell"
"400","(750,800]",2008,83,"Shell"
"401","(750,800]",2009,85,"Shell"
"402","(750,800]",2010,85,"Shell"
"403","(750,800]",2011,88,"Shell"
"404","(750,800]",2012,88,"Shell"
"405","(750,800]",2013,97,"Shell"
"406","(750,800]",2014,101,"Shell"
"407","(750,800]",2015,102,"Shell"
"408","(750,800]",2016,104,"Shell"
"409","(750,800]",2017,143,"Shell"
"410","(750,800]",2018,174,"Shell"
"411","(750,800]",2019,182,"Shell"
"412","(750,800]",2020,175,"Shell"
"413","(750,800]",2021,177,"Shell"
"414","(750,800]",2022,178,"Shell"
"415","(800,850]",1991,1,"Shell"
"416","(800,850]",1992,1,"Shell"
"417","(800,850]",1993,1,"Shell"
"418","(800,850]",1994,3,"Shell"
"419","(800,850]",1995,5,"Shell"
"420","(800,850]",1996,6,"Shell"
"421","(800,850]",1997,8,"Shell"
"422","(800,850]",1998,10,"Shell"
"423","(800,850]",1999,11,"Shell"
"424","(800,850]",2000,13,"Shell"
"425","(800,850]",2001,13,"Shell"
"426","(800,850]",2002,14,"Shell"
"427","(800,850]",2003,20,"Shell"
"428","(800,850]",2004,20,"Shell"
"429","(800,850]",2005,21,"Shell"
"430","(800,850]",2006,22,"Shell"
"431","(800,850]",2007,22,"Shell"
"432","(800,850]",2008,24,"Shell"
"433","(800,850]",2009,31,"Shell"
"434","(800,850]",2010,32,"Shell"
"435","(800,850]",2011,37,"Shell"
"436","(800,850]",2012,40,"Shell"
"437","(800,850]",2013,42,"Shell"
"438","(800,850]",2014,44,"Shell"
"439","(800,850]",2015,44,"Shell"
"440","(800,850]",2016,46,"Shell"
"441","(800,850]",2017,51,"Shell"
"442","(800,850]",2018,53,"Shell"
"443","(800,850]",2019,54,"Shell"
"444","(800,850]",2020,54,"Shell"
"445","(800,850]",2021,55,"Shell"
"446","(800,850]",2022,57,"Shell"
"447","(850,900]",1999,1,"Shell"
"448","(850,900]",2000,1,"Shell"
"449","(850,900]",2001,1,"Shell"
"450","(850,900]",2002,2,"Shell"
"451","(850,900]",2003,2,"Shell"
"452","(850,900]",2004,4,"Shell"
"453","(850,900]",2005,4,"Shell"
"454","(850,900]",2006,4,"Shell"
"455","(850,900]",2007,5,"Shell"
"456","(850,900]",2008,5,"Shell"
"457","(850,900]",2009,6,"Shell"
"458","(850,900]",2010,6,"Shell"
"459","(850,900]",2011,8,"Shell"
"460","(850,900]",2012,8,"Shell"
"461","(850,900]",2013,8,"Shell"
"462","(850,900]",2014,8,"Shell"
"463","(850,900]",2015,8,"Shell"
"464","(850,900]",2016,8,"Shell"
"465","(850,900]",2017,8,"Shell"
"466","(850,900]",2018,8,"Shell"
"467","(850,900]",2019,13,"Shell"
"468","(850,900]",2020,13,"Shell"
"469","(850,900]",2021,20,"Shell"
"470","(850,900]",2022,20,"Shell"
"471","(900,950]",2005,1,"Shell"
"472","(900,950]",2006,1,"Shell"
"473","(900,950]",2007,1,"Shell"
"474","(900,950]",2008,1,"Shell"
"475","(900,950]",2009,4,"Shell"
"476","(900,950]",2010,4,"Shell"
"477","(900,950]",2011,4,"Shell"
"478","(900,950]",2012,4,"Shell"
"479","(900,950]",2013,4,"Shell"
"480","(900,950]",2014,5,"Shell"
"481","(900,950]",2015,5,"Shell"
"482","(900,950]",2016,6,"Shell"
"483","(900,950]",2017,7,"Shell"
"484","(900,950]",2018,8,"Shell"
"485","(900,950]",2019,9,"Shell"
"486","(900,950]",2020,9,"Shell"
"487","(900,950]",2021,35,"Shell"
"488","(900,950]",2022,36,"Shell"
"489","(950,1e+03]",1989,1,"Shell"
"490","(950,1e+03]",1990,1,"Shell"
"491","(950,1e+03]",1991,1,"Shell"
"492","(950,1e+03]",1992,1,"Shell"
"493","(950,1e+03]",1993,1,"Shell"
"494","(950,1e+03]",1994,1,"Shell"
"495","(950,1e+03]",1995,1,"Shell"
"496","(950,1e+03]",1996,1,"Shell"
"497","(950,1e+03]",1997,2,"Shell"
"498","(950,1e+03]",1998,3,"Shell"
"499","(950,1e+03]",1999,4,"Shell"
"500","(950,1e+03]",2000,4,"Shell"
"501","(950,1e+03]",2001,7,"Shell"
"502","(950,1e+03]",2002,9,"Shell"
"503","(950,1e+03]",2003,11,"Shell"
"504","(950,1e+03]",2004,12,"Shell"
"505","(950,1e+03]",2005,12,"Shell"
"506","(950,1e+03]",2006,12,"Shell"
"507","(950,1e+03]",2007,13,"Shell"
"508","(950,1e+03]",2008,13,"Shell"
"509","(950,1e+03]",2009,13,"Shell"
"510","(950,1e+03]",2010,14,"Shell"
"511","(950,1e+03]",2011,15,"Shell"
"512","(950,1e+03]",2012,15,"Shell"
"513","(950,1e+03]",2013,15,"Shell"
"514","(950,1e+03]",2014,15,"Shell"
"515","(950,1e+03]",2015,15,"Shell"
"516","(950,1e+03]",2016,15,"Shell"
"517","(950,1e+03]",2017,15,"Shell"
"518","(950,1e+03]",2018,16,"Shell"
"519","(950,1e+03]",2019,16,"Shell"
"520","(950,1e+03]",2020,17,"Shell"
"521","(950,1e+03]",2021,17,"Shell"
"522","(950,1e+03]",2022,17,"Shell"
"523","(1e+03,1.05e+03]",2001,1,"Shell"
"524","(1e+03,1.05e+03]",2002,1,"Shell"
"525","(1e+03,1.05e+03]",2003,1,"Shell"
"526","(1e+03,1.05e+03]",2004,1,"Shell"
"527","(1e+03,1.05e+03]",2005,1,"Shell"
"528","(1e+03,1.05e+03]",2006,1,"Shell"
"529","(1e+03,1.05e+03]",2007,1,"Shell"
"530","(1e+03,1.05e+03]",2008,1,"Shell"
"531","(1e+03,1.05e+03]",2009,1,"Shell"
"532","(1e+03,1.05e+03]",2010,1,"Shell"
"533","(1e+03,1.05e+03]",2011,1,"Shell"
"534","(1e+03,1.05e+03]",2012,1,"Shell"
"535","(1e+03,1.05e+03]",2013,1,"Shell"
"536","(1e+03,1.05e+03]",2014,1,"Shell"
"537","(1e+03,1.05e+03]",2015,2,"Shell"
"538","(1e+03,1.05e+03]",2016,2,"Shell"
"539","(1e+03,1.05e+03]",2017,2,"Shell"
"540","(1e+03,1.05e+03]",2018,2,"Shell"
"541","(1e+03,1.05e+03]",2019,2,"Shell"
"542","(1e+03,1.05e+03]",2020,2,"Shell"
"543","(1e+03,1.05e+03]",2021,2,"Shell"
"544","(1e+03,1.05e+03]",2022,2,"Shell"
"545","(1.05e+03,1.1e+03]",1990,3,"Shell"
"546","(1.05e+03,1.1e+03]",1991,6,"Shell"
"547","(1.05e+03,1.1e+03]",1992,6,"Shell"
"548","(1.05e+03,1.1e+03]",1993,6,"Shell"
"549","(1.05e+03,1.1e+03]",1994,6,"Shell"
"550","(1.05e+03,1.1e+03]",1995,6,"Shell"
"551","(1.05e+03,1.1e+03]",1996,7,"Shell"
"552","(1.05e+03,1.1e+03]",1997,7,"Shell"
"553","(1.05e+03,1.1e+03]",1998,7,"Shell"
"554","(1.05e+03,1.1e+03]",1999,7,"Shell"
"555","(1.05e+03,1.1e+03]",2000,7,"Shell"
"556","(1.05e+03,1.1e+03]",2001,7,"Shell"
"557","(1.05e+03,1.1e+03]",2002,7,"Shell"
"558","(1.05e+03,1.1e+03]",2003,7,"Shell"
"559","(1.05e+03,1.1e+03]",2004,7,"Shell"
"560","(1.05e+03,1.1e+03]",2005,7,"Shell"
"561","(1.05e+03,1.1e+03]",2006,7,"Shell"
"562","(1.05e+03,1.1e+03]",2007,7,"Shell"
"563","(1.05e+03,1.1e+03]",2008,7,"Shell"
"564","(1.05e+03,1.1e+03]",2009,7,"Shell"
"565","(1.05e+03,1.1e+03]",2010,10,"Shell"
"566","(1.05e+03,1.1e+03]",2011,10,"Shell"
"567","(1.05e+03,1.1e+03]",2012,14,"Shell"
"568","(1.05e+03,1.1e+03]",2013,18,"Shell"
"569","(1.05e+03,1.1e+03]",2014,25,"Shell"
"570","(1.05e+03,1.1e+03]",2015,25,"Shell"
"571","(1.05e+03,1.1e+03]",2016,25,"Shell"
"572","(1.05e+03,1.1e+03]",2017,25,"Shell"
"573","(1.05e+03,1.1e+03]",2018,32,"Shell"
"574","(1.05e+03,1.1e+03]",2019,34,"Shell"
"575","(1.05e+03,1.1e+03]",2020,35,"Shell"
"576","(1.05e+03,1.1e+03]",2021,48,"Shell"
"577","(1.05e+03,1.1e+03]",2022,49,"Shell"
"578","(1.1e+03,1.15e+03]",1996,3,"Shell"
"579","(1.1e+03,1.15e+03]",1997,3,"Shell"
"580","(1.1e+03,1.15e+03]",1998,3,"Shell"
"581","(1.1e+03,1.15e+03]",1999,3,"Shell"
"582","(1.1e+03,1.15e+03]",2000,3,"Shell"
"583","(1.1e+03,1.15e+03]",2001,4,"Shell"
"584","(1.1e+03,1.15e+03]",2002,4,"Shell"
"585","(1.1e+03,1.15e+03]",2003,5,"Shell"
"586","(1.1e+03,1.15e+03]",2004,5,"Shell"
"587","(1.1e+03,1.15e+03]",2005,6,"Shell"
"588","(1.1e+03,1.15e+03]",2006,6,"Shell"
"589","(1.1e+03,1.15e+03]",2007,7,"Shell"
"590","(1.1e+03,1.15e+03]",2008,7,"Shell"
"591","(1.1e+03,1.15e+03]",2009,7,"Shell"
"592","(1.1e+03,1.15e+03]",2010,8,"Shell"
"593","(1.1e+03,1.15e+03]",2011,10,"Shell"
"594","(1.1e+03,1.15e+03]",2012,12,"Shell"
"595","(1.1e+03,1.15e+03]",2013,13,"Shell"
"596","(1.1e+03,1.15e+03]",2014,13,"Shell"
"597","(1.1e+03,1.15e+03]",2015,14,"Shell"
"598","(1.1e+03,1.15e+03]",2016,15,"Shell"
"599","(1.1e+03,1.15e+03]",2017,16,"Shell"
"600","(1.1e+03,1.15e+03]",2018,16,"Shell"
"601","(1.1e+03,1.15e+03]",2019,16,"Shell"
"602","(1.1e+03,1.15e+03]",2020,16,"Shell"
"603","(1.1e+03,1.15e+03]",2021,23,"Shell"
"604","(1.1e+03,1.15e+03]",2022,24,"Shell"
"605","(1.15e+03,1.2e+03]",2009,1,"Shell"
"606","(1.15e+03,1.2e+03]",2010,2,"Shell"
"607","(1.15e+03,1.2e+03]",2011,2,"Shell"
"608","(1.15e+03,1.2e+03]",2012,3,"Shell"
"609","(1.15e+03,1.2e+03]",2013,3,"Shell"
"610","(1.15e+03,1.2e+03]",2014,3,"Shell"
"611","(1.15e+03,1.2e+03]",2015,4,"Shell"
"612","(1.15e+03,1.2e+03]",2016,4,"Shell"
"613","(1.15e+03,1.2e+03]",2017,4,"Shell"
"614","(1.15e+03,1.2e+03]",2018,4,"Shell"
"615","(1.15e+03,1.2e+03]",2019,7,"Shell"
"616","(1.15e+03,1.2e+03]",2020,9,"Shell"
"617","(1.15e+03,1.2e+03]",2021,112,"Shell"
"618","(1.15e+03,1.2e+03]",2022,123,"Shell"
"619","(1.2e+03,1.25e+03]",2006,1,"Shell"
"620","(1.2e+03,1.25e+03]",2007,1,"Shell"
"621","(1.2e+03,1.25e+03]",2008,1,"Shell"
"622","(1.2e+03,1.25e+03]",2009,2,"Shell"
"623","(1.2e+03,1.25e+03]",2010,2,"Shell"
"624","(1.2e+03,1.25e+03]",2011,3,"Shell"
"625","(1.2e+03,1.25e+03]",2012,3,"Shell"
"626","(1.2e+03,1.25e+03]",2013,4,"Shell"
"627","(1.2e+03,1.25e+03]",2014,5,"Shell"
"628","(1.2e+03,1.25e+03]",2015,5,"Shell"
"629","(1.2e+03,1.25e+03]",2016,5,"Shell"
"630","(1.2e+03,1.25e+03]",2017,5,"Shell"
"631","(1.2e+03,1.25e+03]",2018,5,"Shell"
"632","(1.2e+03,1.25e+03]",2019,9,"Shell"
"633","(1.2e+03,1.25e+03]",2020,109,"Shell"
"634","(1.2e+03,1.25e+03]",2021,256,"Shell"
"635","(1.2e+03,1.25e+03]",2022,278,"Shell"
"636","(1.3e+03,1.35e+03]",1989,1,"Shell"
"637","(1.3e+03,1.35e+03]",1990,1,"Shell"
